Id,Regiao,Prima,CustoProduto,Pmaquinabase,Pmaquina1,Pmaquina2,Pmaquina3,Cmaquina1,Cmaquina2,Cmaquina3,Resposta
3476,554,1749,40176,651.2,1149.56,1183.22,1263.71,695.498683254171,651.2,632.674795895945,0
3477,554,7181,143053,1575.6,4069.23,5227.24,5415.03,1632.20385289369,1575.6,1226.55144741776,0
3478,558,1749,38232,953.13,1791.34,1942.83,2084.82,1022.78865706212,953.13,878.810752459042,0
3479,555,3449,26211,728.57,3221.46,4142.53,4451.53,782.915564184206,728.57,566.576249828004,0
3480,555,1833,55337,595.71,1329.19,1058.57,1128.29,634.944912381798,595.71,748.001336614489,0
3481,554,1618,30899,1032.35,1588.38,2002.19,2322.91,1197.71656960628,1032.35,818.985257642881,0
3482,557,2129,31137,1313.19,2034.44,2529.38,2827.06,1467.737912611,1313.19,1056.22969407523,0
3483,559,1508,31738,538,931.94,882.63,947.66,577.638512173844,538,568.056512921609,0
3484,554,1623,14995,856.37,1423.5,1534.23,1685.05,940.554068490383,856.37,794.563197825619,0
3485,552,1623,24230,943.36,1815.13,2068.01,2272.99,1036.86531805939,943.36,828.004234408924,0
3486,560,2238,43874,992.67,1209.98,1673.81,1885.97,1118.49364019811,992.67,717.590913305572,0
3487,553,2462,40372,1717.23,2716.77,3025.3,3266.7,1854.25420321952,1717.23,1542.10126172611,0
3488,556,1298,11977,561.03,898.34,773.06,830.51,602.722977905984,561.03,651.948995162083,0
3489,555,2121,42827,985.92,1446.54,1607.08,1786.94,1096.26147099087,985.92,887.431065535008,0
3490,553,4114,81537,607.47,1589.92,1501.46,1540.5,623.265045355854,607.47,643.259695496384,0
3491,557,1508,46735,857.42,1616.39,1597.47,1673.24,898.088502945282,857.42,867.575049171502,0
3492,553,1399,36896,641.63,984.04,1008.72,1071.29,681.429735407249,641.63,625.931462844,0
3493,555,1896,23550,568.47,980,973.67,1052.64,614.57604814773,568.47,572.165723499748,0
3494,553,1514,50526,1024.13,1567.06,1714.11,1801.44,1076.30709067679,1024.13,936.271976594268,0
3495,558,1733,28212,1015.81,1858.17,1920.33,2040.69,1079.47764649826,1015.81,982.928802705785,0
3496,556,3587,138772,3368.77,4331.32,5506.82,5774.57,3532.56474315485,3368.77,2649.66366730708,0
3497,30,1570,30529,506.46,1098.37,1007.38,1081.68,543.814303242073,506.46,552.205195854593,0
3498,559,1618,37741,766.74,1328.73,1319.97,1394.45,810.00370690243,766.74,771.828481101843,0
3499,554,3669,82027,1383.48,2204.16,2478.41,2590.81,1446.22311030056,1383.48,1230.390160143,0
3500,556,1837,47524,1850.05,2184.29,2682.24,2823.35,1947.37930517031,1850.05,1506.59363610266,0
3501,552,2920,14846,534.7,810.59,851.73,992.29,622.940912026112,534.7,508.873085367429,0
3502,555,1833,44942,1340.77,2855.9,3589.08,3895.73,1455.32501702386,1340.77,1066.87648171676,0
3503,555,4119,36226,1528.28,2901.48,3891.63,4204.73,1651.23733869869,1528.28,1139.43870676298,0
3504,556,2224,66617,1648.95,2418.46,3506.34,3797.43,1785.84284424785,1648.95,1137.3453849313,0
3505,559,2345,72139,1433.55,2358.49,2603.95,2745.47,1511.46086464794,1433.55,1298.41715067494,0
3506,555,1623,10120,974.18,2908.66,3256.88,3474.69,1039.33012705411,974.18,870.022352312643,0
3507,557,2927,61812,1036.57,2344.4,2764.68,3054.92,1145.39057843946,1036.57,878.993123254771,0
3508,552,3307,81481,1131.64,1941.75,2243.02,2382.86,1202.19154996389,1131.64,979.644394610837,0
3509,553,2589,41916,909.38,2844.3,3429.02,3703.98,982.29970440534,909.38,754.311591650092,0
3510,559,1495,66427,1068.93,3021.8,3691.07,3804.45,1101.7647290623,1068.93,875.110110076482,0
3511,556,2462,44563,856.44,1494.66,1583.56,1704.56,921.880677966102,856.44,808.360030816641,0
3512,553,1682,16489,1086.43,2259.5,2403.67,2713.01,1226.24796843993,1086.43,1021.26688979768,0
3513,553,1460,15354,623.79,1185.27,1221.25,1371.31,700.437637584442,623.79,605.412137809621,0
3514,555,2195,19233,961.7,1380.2,1765.06,1972.23,1074.57740303446,961.7,752.007489830374,0
3515,552,4907,186935,2148.48,3446.43,3921.97,4035.06,2210.43141808836,2148.48,1887.9761768703,0
3516,558,8234,179854,2946.62,5053.1,5116.71,5235.92,3015.27086553664,2946.62,2909.98816075173,0
3517,555,1830,34263,1123.74,1736.66,2013.73,2094.01,1168.53937588455,1123.74,969.124117135862,0
3518,560,2573,79297,1079.42,1721.08,1647.61,1717.4,1125.14242326764,1079.42,1127.55334915423,0
3519,559,1852,31042,796.65,1304.56,1431.42,1550,862.645135599614,796.65,726.046669740537,0
3520,559,1743,31373,843.36,1589.5,1617.69,1713.39,893.251853198079,843.36,828.663538749699,0
3521,554,5823,149765,3300.72,3993.44,5015.38,5277.87,3473.46982011333,3300.72,2628.16123141218,0
3522,553,3587,58057,866.06,2362.23,2558.48,2863.76,969.399012538695,866.06,799.628261233232,0
3523,557,1460,12929,498.89,1153.43,1112.36,1321.43,592.657244686972,498.89,517.309767251609,0
3524,556,2935,28624,1091.48,1547.29,1799.42,1921.09,1165.28176479088,1091.48,938.544691734003,0
3525,552,2263,65433,1236.05,2391.7,2485.84,2556.1,1270.98582571686,1236.05,1189.24017032472,0
3526,560,1514,35224,589.03,1131.75,1097.83,1139.85,611.575421968793,589.03,607.229445815837,0
3527,556,1327,32980,820.59,1450.62,1500.3,1579.14,863.711586082784,820.59,793.41749370126,0
3528,30,2634,30347,1048.63,1585.51,1781.82,1916.89,1128.1208880246,1048.63,933.098377670023,0
3529,552,1896,27440,771.61,1292.23,1309.42,1394.8,821.922399230193,771.61,761.480342670801,0
3530,553,10443,134300,868.73,2014.49,2283.09,2283.09,868.73,868.73,766.526022933831,0
3531,556,1168,22426,437.7,794.82,771.43,818.87,464.616879042817,437.7,450.971201534812,0
3532,554,3048,41455,1632.33,2549.46,3201.58,3416.78,1742.05001824099,1632.33,1299.84571424109,0
3533,553,1998,28277,970.01,1754.65,1826.5,2008.92,1066.88885255954,970.01,931.852201751985,0
3534,559,1382,16640,889.58,1458.19,1537,1694.5,980.737351984385,889.58,843.966597397528,0
3535,560,1666,34198,764.46,2520.8,2596.02,2866.65,844.153457600481,764.46,742.309677121132,0
